id,frequency,frequency_percent,characters
1,7922684,4.0943253178,的
2,3050722,5.6708930974,一
3,2615490,7.0225394493,是
4,2237915,8.1790606539,不
5,2128528,9.279052283,了
6,2009181,10.3173671567,在
7,1867999,11.2827212715,人
8,1782004,12.2036344486,有
9,1690048,13.0770261318,我
10,1595761,13.9016916951,他
11,1552042,14.7037639291,这
12,1199580,15.3236890409,个
13,1169853,15.9282516811,们
14,1104541,16.4990620505,中
15,1079469,17.056915583,来
16,1069575,17.6096560434,上
17,1054064,18.1543806496,大
18,1039036,18.6913390088,为
19,1010465,19.2135322999,和
20,985350,19.7227465323,国
21,969349,20.2236916858,地
22,965035,20.7224074283,到
23,910627,21.1930059251,以
24,874977,21.6451810318,说
25,833532,22.0759379787,时
26,811011,22.4950564076,要
27,771108,22.8935535592,就
28,755256,23.2838586328,出
29,734888,23.6636378269,会
30,723108,24.037329292,可
31,710259,24.404380585,也
32,705205,24.7688200459,你
33,703632,25.1324466038,对
34,682031,25.4849100859,生
35,665358,25.8287572096,能
36,649239,26.1642742736,而
37,640640,26.4953475023,子
38,638538,26.8253344486,那
39,630688,27.1512646316,得
40,630524,27.4771100619,于
41,626326,27.8007860281,着
42,621185,28.121805202,下
43,611687,28.4379159507,自
44,609003,28.752639648,之
45,601887,29.0636859024,年
46,589925,29.3685503729,过
47,572904,29.6646186437,发
48,570764,29.9595809943,后
49,542791,30.2400873144,作
50,537795,30.5180117759,里
51,535480,30.7947398798,用
52,534695,31.0710623073,道
53,531848,31.3459134476,行
54,523028,31.6162065431,所
55,511026,31.8802971833,然
56,509790,32.1437490771,家
57,503344,32.4038697739,种
58,499172,32.6618344431,事
59,499007,32.9197138428,成
60,492763,33.1743664362,方
61,481689,33.4232961509,多
62,481338,33.672044474,经
63,477969,33.9190517481,么
64,476270,34.1651810041,去
65,466816,34.4064245736,法
66,464261,34.646347757,学
67,449036,34.8784028867,如
68,439568,35.1055650948,都
69,437611,35.3317159543,同
70,433960,35.5559800314,现
71,429274,35.7778224533,当
72,428146,35.9990819415,没
73,426839,36.2196659916,动
74,425180,36.4393926952,面
75,424933,36.6589917528,起
76,424616,36.8784269896,看
77,422538,37.0967883468,定
78,419884,37.3137781563,天
79,419382,37.5305085396,分
80,415855,37.7454162218,还
81,412166,37.9584174836,进
82,411866,38.1712637099,好
83,410987,38.383655682,小
84,403066,38.5919541991,部
85,403028,38.8002330784,其
86,400528,39.0072199948,些
87,399693,39.2137753956,主
88,398149,39.4195328802,样
89,398087,39.6252583241,理
90,392228,39.8279559239,心
91,388612,40.0287848286,她
92,388118,40.2293584415,本
93,381431,40.4264763122,前
94,377012,40.6213105094,开
95,374459,40.8148253542,但
96,371612,41.0068689116,因
97,370059,41.1981099018,只
98,369958,41.3892986966,从
99,368819,41.5798988732,想
100,368494,41.7703310946,实
101,363763,41.9583184056,日
102,362526,42.1456664533,军
103,360974,42.3322124505,者
104,360232,42.5183749931,意
105,359265,42.7040378045,无
106,359136,42.8896339507,力
107,346173,43.0685310111,它
108,345532,43.2470968122,与
109,342148,43.4239138125,长
110,340730,43.5999980114,把
111,339823,43.7756134862,机
112,338954,43.9507798748,十
113,335796,44.1243142558,民
114,325780,44.292672517,第
115,318626,44.4573336973,公
116,318534,44.6219473334,此
117,318143,44.7863589065,已
118,317532,44.9504547239,工
119,316273,45.1138999088,使
120,312900,45.2756019774,情
121,309873,45.4357397375,明
122,309844,45.5958625107,性
123,306384,45.7541972074,知
124,305248,45.9119448362,全
125,304272,46.0691880827,三
126,302933,46.2257393539,又
127,302473,46.3820529039,关
128,300800,46.5375018724,点
129,296810,46.6908888683,正
130,296169,46.8439446048,业
131,295645,46.9967295459,外
132,295586,47.1494839968,将
133,294600,47.3017288974,两
134,293542,47.4534270394,高
135,292227,47.604445609,间
136,292199,47.7554497085,由
137,288237,47.9044063054,问
138,284252,48.0513035135,很
139,283689,48.1979097716,最
140,282843,48.3440788294,重
141,281616,48.4896137919,并
142,281146,48.6349058654,物
143,280442,48.7798341221,手
144,280384,48.9247324053,应
145,278776,49.068799698,战
146,276986,49.2119419453,向
147,274911,49.3540118635,头
148,274222,49.4957257167,文
149,273792,49.6372173523,体
150,269878,49.7766862908,政
151,269452,49.9159350789,美
152,269125,50.0550148783,相
153,269080,50.1940714223,见
154,268905,50.333037529,被
155,268813,50.4719560914,利
156,267869,50.6103868086,什
157,267506,50.7486299328,二
158,266296,50.8862477471,等
159,265164,51.0232805605,产
160,260786,51.1580508886,或
161,253921,51.2892734868,新
162,250894,51.4189317764,己
163,250754,51.5485177161,制
164,249725,51.6775718838,身
165,246831,51.8051304754,果
166,243648,51.9310441399,加
167,243619,52.0569428176,西
168,240900,52.1814363565,斯
169,240566,52.3057572892,月
170,240067,52.4298203462,话
171,239277,52.5534751428,合
172,239243,52.6771123688,回
173,239091,52.8006710434,特
174,231734,52.9204277298,代
175,231331,53.0399761518,内
176,230248,53.1589648955,信
177,226768,53.2761552269,表
178,224729,53.3922918334,化
179,223050,53.5075607577,老
180,217815,53.6201243118,给
181,214990,53.7312279479,世
182,214983,53.8423279665,位
183,214857,53.9533628702,次
184,214376,54.0641492003,度
185,212769,54.1741050566,门
186,212485,54.2839141459,任
187,212309,54.3936322811,常
188,210628,54.5024817004,先
189,209302,54.6106458627,海
190,209046,54.7186777279,通
191,208875,54.8266212229,教
192,207827,54.9340231271,儿
193,207579,55.0412968686,原
194,206238,55.1478776012,东
195,206083,55.2543782321,声
196,205159,55.3604013535,提
197,204985,55.4663345544,立
198,202671,55.5710719144,及
199,200645,55.6747622677,比
200,200217,55.778231437,员
201,200090,55.8816349746,解
202,198933,55.9844405918,水
203,198481,56.0870126221,名
204,198416,56.1895510614,真
205,197165,56.2914430025,论
206,194237,56.3918217967,处
207,193619,56.4918812177,走
208,193507,56.5918827587,义
209,193435,56.6918470913,各
210,192433,56.7912936051,入
211,192355,56.8906998097,几
212,191936,56.9898894813,口
213,191866,57.0890429779,认
214,191280,57.1878936385,条
215,191267,57.2867375808,平
216,190769,57.3853241642,系
217,190687,57.4838683711,气
218,189921,57.5820167207,题
219,189876,57.6801418149,活
220,189785,57.7782198817,尔
221,187378,57.8750540467,更
222,186634,57.9715037235,别
223,186146,58.0677012092,打
224,185188,58.1634036147,女
225,185121,58.2590713956,变
226,184874,58.3546115306,四
227,184554,58.4499862943,神
228,184470,58.5453176481,总
229,184335,58.6405792359,何
230,183834,58.7355819144,电
231,183312,58.830314831,数
232,183210,58.9249950355,安
233,183018,59.0195760173,少
234,182411,59.1138433105,报
235,181725,59.2077560891,才
236,181674,59.3016425116,结
237,181385,59.3953795833,反
238,180928,59.4888804841,受
239,180827,59.5823291897,目
240,180490,59.6756037386,太
241,180008,59.7686291971,量
242,179607,59.8614474248,再
243,178383,59.9536331075,感
244,178289,60.0457702124,建
245,176085,60.1367683228,务
246,175580,60.2275054568,做
247,175473,60.3181872947,接
248,174963,60.4086055722,必
249,173632,60.4983360087,场
250,172895,60.5876855746,件
251,171949,60.6765462617,计
252,170746,60.7647852563,管
253,169806,60.8525384729,期
254,169522,60.9401449225,市
255,169439,61.0277084789,直
256,168917,61.1150022735,德
257,168890,61.2022821149,资
258,168358,61.2892870266,命
259,168142,61.3761803127,山
260,167912,61.4629547382,金
261,166865,61.5491880897,指
262,166044,61.6349971606,克
263,166034,61.7208010637,许
264,165820,61.8064943747,统
265,164775,61.8916476453,区
266,164424,61.9766195243,保
267,163582,62.0611562702,至
268,162938,62.1453602064,队
269,162049,62.2291047207,形
270,159527,62.3115459029,社
271,159479,62.3939622794,便
272,158539,62.4758928778,空
273,157959,62.5575237409,决
274,156904,62.6386093957,治
275,156759,62.7196201166,展
276,155772,62.8001207706,马
277,155750,62.8806100553,科
278,155229,62.960830095,司
279,154316,63.0405783099,五
280,153462,63.1198851902,基
281,152079,63.1984773567,眼
282,151357,63.2766964043,书
283,149915,63.3541702478,非
284,149042,63.4311929378,则
285,148988,63.5081877215,听
